header,function,callers_src,callers_tests
include/uft/c64/uft_cbm_disk.h,uft_cbm_disk_free,4,0
include/uft/c64/uft_cbm_disk.h,uft_cbm_disk_load_file,2,0
include/uft/c64/uft_cbm_disk.h,uft_cbm_read_directory,2,0
include/uft/core/uft_crc_v2.h,uft_crc16_calc,0,0
include/uft/core/uft_crc_v2.h,uft_crc32_calc,0,0
include/uft/core/uft_encoding.h,uft_encoding_category,0,0
include/uft/core/uft_format_registry.h,uft_format_has_cap,0,0
include/uft/core/uft_safe_alloc.h,uft_alloc_get_stats,0,3
include/uft/core/uft_safe_alloc.h,uft_alloc_reset_stats,0,2
include/uft/core/uft_safe_alloc.h,uft_alloc_set_tracking,0,3
include/uft/core/uft_safe_alloc.h,uft_calloc_tracked,0,0
include/uft/core/uft_safe_alloc.h,uft_free_tracked,0,0
include/uft/core/uft_safe_alloc.h,uft_malloc_tracked,0,0
include/uft/decoder/uft_pll.h,uft_pll_create,0,13
include/uft/decoder/uft_pll.h,uft_pll_destroy,0,18
include/uft/decoder/uft_pll.h,uft_pll_process,0,8
include/uft/flux/pll/uft_pll_pi.h,uft_pll_get_stats,0,3
include/uft/flux/pll/uft_pll_pi.h,uft_pll_reset_stats,0,1
include/uft/flux/uft_pll_params.h,uft_pll_preset_name,0,1
include/uft/flux/uft_pll_pi.h,uft_pll_get_stats,0,3
include/uft/flux/uft_pll_pi.h,uft_pll_reset_stats,0,1
include/uft/formats/uft_cpm_defs.h,uft_cpm_find_by_geometry,0,1
include/uft/formats/uft_cpm_defs.h,uft_cpm_find_format,0,4
include/uft/formats/uft_cpm_defs.h,uft_cpm_get_all_formats,0,1
include/uft/formats/uft_format_params.h,uft_format_params_default,0,0
include/uft/formats/uft_simh.h,uft_simh_detect_type,0,6
include/uft/formats/uft_simh.h,uft_simh_get_geometry,0,1
include/uft/formats/uft_simh.h,uft_simh_read_options_init,0,1
include/uft/formats/uft_ydsk.h,uft_ydsk_probe,0,1
include/uft/formats/uft_ydsk.h,uft_ydsk_validate_header,0,2
include/uft/fs/uft_atari_dos.h,uft_atari_detect,0,1
include/uft/fs/uft_atari_dos.h,uft_atari_format,0,1
include/uft/fs/uft_atari_dos.h,uft_atari_get_geometry,0,1
include/uft/fs/uft_fat32.h,uft_fat32_count_clusters,0,1
include/uft/fs/uft_fat32.h,uft_fat32_detect,0,1
include/uft/fs/uft_fat32.h,uft_fat32_format_opts_init,0,1
include/uft/fs/uft_fat32.h,uft_fat32_read_fsinfo,0,1
include/uft/fs/uft_fat32.h,uft_fat_type_for_size,0,1
include/uft/fs/uft_fat_atari.h,uft_atari_calc_sector_size,0,2
include/uft/fs/uft_fat_atari.h,uft_atari_detect,0,1
include/uft/fs/uft_fat_atari.h,uft_atari_format,0,1
include/uft/fs/uft_fat_atari.h,uft_atari_generate_serial,0,2
include/uft/fs/uft_fat_atari.h,uft_atari_get_serial,0,1
include/uft/fs/uft_fat_atari.h,uft_atari_identify_format,0,1
include/uft/fs/uft_fat_atari.h,uft_atari_is_bootable,0,3
include/uft/fs/uft_fat_atari.h,uft_atari_make_bootable,0,1
include/uft/fs/uft_fat_atari.h,uft_atari_make_non_bootable,0,1
include/uft/fs/uft_fat_badblock.h,uft_badblock_import_buffer,0,1
include/uft/fs/uft_fat_badblock.h,uft_badblock_list_add,0,4
include/uft/fs/uft_fat_badblock.h,uft_badblock_list_clear,0,1
include/uft/fs/uft_fat_badblock.h,uft_badblock_list_dedupe,0,1
include/uft/fs/uft_fat_badblock.h,uft_badblock_list_destroy,0,1
include/uft/fs/uft_fat_badblock.h,uft_badblock_list_sort,0,1
include/uft/fs/uft_fat_boot.h,uft_boot_apply_template,0,1
include/uft/fs/uft_fat_boot.h,uft_boot_find_by_name,0,2
include/uft/fs/uft_fat_boot.h,uft_boot_get_oem,0,1
include/uft/fs/uft_fat_boot.h,uft_boot_is_bootable,0,1
include/uft/fs/uft_fat_boot.h,uft_boot_set_oem,0,1
include/uft/hal/uft_fc5025.h,uft_fc_open,1,0
include/uft/ml/uft_ml_decoder.h,uft_ml_augment_sample,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_config_init,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_config_recommended,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_dataset_add,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_dataset_free,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_dataset_save,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_dataset_split,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_decode,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_decoder_free,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_decoder_get_stats,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_decoder_set_threshold,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_generate_sample,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_hybrid_decode,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_hybrid_free,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_model_evaluate,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_model_export_onnx,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_model_free,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_model_save,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_model_train,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_normalize_flux,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_result_free,0,0
include/uft/ml/uft_ml_decoder.h,uft_ml_runtime_available,0,0
include/uft/ml/uft_ml_training_gen.h,uft_tg_add_flux_track,0,0
include/uft/ml/uft_ml_training_gen.h,uft_tg_add_pattern,0,0
include/uft/ml/uft_ml_training_gen.h,uft_tg_augment_dataset,0,0
include/uft/ml/uft_ml_training_gen.h,uft_tg_augment_name,0,0
include/uft/ml/uft_ml_training_gen.h,uft_tg_augment_sample,0,0
